policy,seed,n_queried,cumulative_high_activity_found,recall,best_pIC50_sofar
surrogate_active_search,15,100,13,0.16455696202531644,9.0
surrogate_active_search,15,110,13,0.16455696202531644,9.0
surrogate_active_search,15,120,13,0.16455696202531644,9.0
surrogate_active_search,15,130,14,0.17721518987341772,9.0
surrogate_active_search,15,140,15,0.189873417721519,9.0
surrogate_active_search,15,150,16,0.20253164556962025,9.0
surrogate_active_search,16,30,2,0.02531645569620253,8.7212467
surrogate_active_search,16,40,2,0.02531645569620253,8.7212467
surrogate_active_search,16,50,7,0.08860759493670886,8.8538723
surrogate_active_search,16,60,9,0.11392405063291139,8.8538723
surrogate_active_search,16,70,12,0.1518987341772152,9.0506096
surrogate_active_search,16,80,13,0.16455696202531644,9.0506096
surrogate_active_search,16,90,14,0.17721518987341772,9.0506096
surrogate_active_search,16,100,18,0.22784810126582278,9.0506096
surrogate_active_search,16,110,20,0.25316455696202533,9.0506096
surrogate_active_search,16,120,22,0.27848101265822783,9.1549015
surrogate_active_search,16,130,26,0.3291139240506329,9.1549015
surrogate_active_search,16,140,27,0.34177215189873417,9.1549015
surrogate_active_search,16,150,28,0.35443037974683544,9.1549015
surrogate_active_search,17,30,2,0.02531645569620253,8.5228786
surrogate_active_search,17,40,5,0.06329113924050633,9.0
surrogate_active_search,17,50,6,0.0759493670886076,9.0
surrogate_active_search,17,60,7,0.08860759493670886,9.0
surrogate_active_search,17,70,11,0.13924050632911392,10.522879
surrogate_active_search,17,80,14,0.17721518987341772,10.522879
surrogate_active_search,17,90,14,0.17721518987341772,10.522879
surrogate_active_search,17,100,15,0.189873417721519,10.522879
surrogate_active_search,17,110,19,0.24050632911392406,10.522879
surrogate_active_search,17,120,25,0.31645569620253167,10.522879
surrogate_active_search,17,130,29,0.3670886075949367,10.522879
surrogate_active_search,17,140,31,0.3924050632911392,10.522879
surrogate_active_search,17,150,31,0.3924050632911392,10.522879
surrogate_active_search,18,30,2,0.02531645569620253,9.1549015
surrogate_active_search,18,40,4,0.05063291139240506,9.1549015
surrogate_active_search,18,50,5,0.06329113924050633,9.1549015
surrogate_active_search,18,60,6,0.0759493670886076,9.1549015
surrogate_active_search,18,70,6,0.0759493670886076,9.1549015
surrogate_active_search,18,80,6,0.0759493670886076,9.1549015
surrogate_active_search,18,90,6,0.0759493670886076,9.1549015
surrogate_active_search,18,100,6,0.0759493670886076,9.1549015
surrogate_active_search,18,110,7,0.08860759493670886,9.1549015
surrogate_active_search,18,120,7,0.08860759493670886,9.1549015
surrogate_active_search,18,130,10,0.12658227848101267,9.1549015
surrogate_active_search,18,140,14,0.17721518987341772,9.1549015
surrogate_active_search,18,150,19,0.24050632911392406,9.1549015
surrogate_active_search,19,30,0,0.0,8.3467875
surrogate_active_search,19,40,2,0.02531645569620253,8.4436979
surrogate_active_search,19,50,9,0.11392405063291139,9.004365
surrogate_active_search,19,60,14,0.17721518987341772,9.004365
surrogate_active_search,19,70,16,0.20253164556962025,9.004365
surrogate_active_search,19,80,18,0.22784810126582278,9.004365
surrogate_active_search,19,90,18,0.22784810126582278,9.004365
surrogate_active_search,19,100,20,0.25316455696202533,9.004365
surrogate_active_search,19,110,21,0.26582278481012656,9.004365
surrogate_active_search,19,120,22,0.27848101265822783,9.1549015
surrogate_active_search,19,130,23,0.2911392405063291,9.1549015
surrogate_active_search,19,140,23,0.2911392405063291,9.1549015
surrogate_active_search,19,150,23,0.2911392405063291,9.1549015
greedy_surrogate,0,30,2,0.02531645569620253,8.6020603
greedy_surrogate,0,40,6,0.0759493670886076,9.0
greedy_surrogate,0,50,7,0.08860759493670886,9.0
greedy_surrogate,0,60,8,0.10126582278481013,9.0
greedy_surrogate,0,70,8,0.10126582278481013,9.0
greedy_surrogate,0,80,9,0.11392405063291139,9.0
greedy_surrogate,0,90,9,0.11392405063291139,9.0
greedy_surrogate,0,100,10,0.12658227848101267,9.0
greedy_surrogate,0,110,13,0.16455696202531644,9.0
greedy_surrogate,0,120,16,0.20253164556962025,9.0
greedy_surrogate,0,130,18,0.22784810126582278,9.0
greedy_surrogate,0,140,18,0.22784810126582278,9.0
greedy_surrogate,0,150,20,0.25316455696202533,9.0
